player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Gabriel Martinelli,30,1073,261,189,72.4%,133,86,64.7%,33,7,21.2%,2,p444145,Arsenal
Radu Dragusin,10,515,239,186,77.8%,31,11,35.5%,3,0,0.0%,0,p493125,Spurs
Justin Devenny,21,788,253,185,73.1%,95,60,63.2%,15,0,0.0%,2,p489706,Crystal Palace
Joshua Zirkzee,24,608,245,182,74.3%,82,48,58.5%,5,2,40.0%,2,p458249,Man Utd
Zian Flemming,29,1776,277,180,65.0%,123,66,53.7%,6,1,16.7%,3,p431639,Burnley
Jair Cunha,9,516,221,177,80.1%,25,16,64.0%,2,0,0.0%,0,p575458,Nott'm Forest
Levi Colwill,3,225,192,173,90.1%,27,15,55.6%,1,0,0.0%,1,p460028,Chelsea
Rio Ngumoha,19,551,192,167,87.0%,128,110,85.9%,21,7,33.3%,0,p611922,Liverpool
Wilfried Gnonto,23,524,218,167,76.6%,107,76,71.0%,20,2,10.0%,0,p492859,Leeds
Harrison Armstrong,13,528,206,166,80.6%,88,61,69.3%,2,0,0.0%,1,p609873,Everton
Tolu Arokodare,33,1407,270,163,60.4%,115,57,49.6%,0,0,0.0%,1,p488213,Wolves
Angel Gomes,12,464,188,161,85.6%,58,47,81.0%,3,1,33.3%,1,p209041,Wolves
Valentín Castellanos,18,1395,250,161,64.4%,127,73,57.5%,9,2,22.2%,2,p247670,West Ham
Veljko Milosavljevic,7,367,190,160,84.2%,32,19,59.4%,0,0,0.0%,0,p620487,Bournemouth
Dilane Bakwa,14,552,196,155,79.1%,89,67,75.3%,28,6,21.4%,2,p476887,Nott'm Forest
Evann Guessand,21,916,187,154,82.3%,79,61,77.2%,11,0,0.0%,0,p485337,Crystal Palace
Chris Rigg,18,766,213,153,71.8%,81,53,65.4%,11,4,36.4%,2,p554197,Sunderland
Pablo,14,826,201,148,73.6%,87,57,65.5%,5,2,40.0%,3,p530335,West Ham
Nathaniel Clyne,10,596,184,147,79.9%,55,40,72.7%,16,2,12.5%,0,p57328,Crystal Palace
Bertrand Traoré,12,638,180,143,79.4%,80,61,76.3%,13,1,7.7%,0,p110504,Sunderland
Lukas Nmecha,31,1073,216,142,65.7%,96,56,58.3%,10,0,0.0%,0,p174594,Leeds
Omar Marmoush,21,699,162,141,87.0%,78,64,82.0%,4,0,0.0%,4,p438234,Man City
Liam Delap,28,1102,189,132,69.8%,93,58,62.4%,6,0,0.0%,2,p463034,Chelsea
Merlin Röhl,16,677,169,131,77.5%,58,40,69.0%,5,3,60.0%,0,p513466,Everton
Beto,37,1565,208,129,62.0%,82,45,54.9%,2,0,0.0%,0,p486385,Everton
Joe Worrall,11,497,155,125,80.7%,22,6,27.3%,0,0,0.0%,0,p208912,Burnley
Kai Havertz,12,583,166,123,74.1%,89,63,70.8%,6,0,0.0%,1,p219847,Arsenal
Simon Adingra,14,658,161,122,75.8%,67,43,64.2%,27,5,18.5%,1,p535818,Sunderland
Sebastiaan Bornauw,12,432,146,121,82.9%,17,9,52.9%,1,1,100.0%,0,p437738,Leeds
Max Alleyne,2,135,128,120,93.8%,15,13,86.7%,0,0,0.0%,0,p494307,Man City
Jamie Gittens,16,490,149,118,79.2%,68,49,72.1%,13,3,23.1%,2,p463936,Chelsea
Dominic Solanke,15,1000,158,117,74.0%,76,55,72.4%,2,0,0.0%,0,p154566,Spurs
Chris Wood,15,906,160,111,69.4%,61,41,67.2%,1,0,0.0%,1,p60689,Nott'm Forest
Ethan Pinnock,4,321,133,110,82.7%,17,9,52.9%,0,0,0.0%,0,p231065,Brentford
Leon Bailey,13,452,139,107,77.0%,83,65,78.3%,9,2,22.2%,1,p215711,Aston Villa
Marshall Munetsi,13,873,169,107,63.3%,84,47,56.0%,14,3,21.4%,0,p433312,Wolves
Ki-Jana Hoever,8,428,154,106,68.8%,57,31,54.4%,22,7,31.8%,0,p441271,Wolves
Armando Broja,24,849,151,105,69.5%,79,52,65.8%,3,1,33.3%,0,p440323,Burnley
Adam Armstrong,14,1146,152,104,68.4%,67,46,68.7%,5,1,20.0%,1,p155511,Wolves
Nayef Aguerd,2,180,115,104,90.4%,21,17,81.0%,2,0,0.0%,0,p210494,West Ham
James McAtee,14,289,121,102,84.3%,45,35,77.8%,7,0,0.0%,2,p432714,Nott'm Forest
Callum Wilson,32,1243,156,101,64.7%,83,51,61.5%,5,1,20.0%,0,p75115,West Ham
Diego Coppola,5,194,114,101,88.6%,12,10,83.3%,0,0,0.0%,0,p550090,Brighton
Jenson Seelt,2,134,109,96,88.1%,14,9,64.3%,1,0,0.0%,0,p519634,Sunderland
Charalampos Kostoulas,21,353,127,95,74.8%,59,45,76.3%,6,0,0.0%,0,p647850,Brighton
Jack Harrison,11,263,117,93,79.5%,43,33,76.7%,13,1,7.7%,0,p221399,Leeds
Tyrique George,15,353,111,89,80.2%,53,42,79.3%,11,5,45.5%,0,p550615,Everton
Romaine Mundle,14,400,104,89,85.6%,40,32,80.0%,11,2,18.2%,0,p461199,Sunderland
Tyler Dibling,14,350,102,88,86.3%,37,29,78.4%,7,1,14.3%,0,p496661,Everton
Gabriel Jesus,14,421,108,83,76.8%,52,40,76.9%,0,0,0.0%,1,p205651,Arsenal
Luca Netz,7,355,100,83,83.0%,25,21,84.0%,2,0,0.0%,0,p470315,Nott'm Forest
Andy Irving,7,157,93,83,89.3%,29,25,86.2%,3,1,33.3%,0,p229384,West Ham
Federico Chiesa,26,318,113,81,71.7%,62,42,67.7%,17,0,0.0%,1,p223541,Liverpool
Wilson Isidor,32,1158,135,81,60.0%,79,41,51.9%,0,0,0.0%,2,p437505,Sunderland
Adama Traoré,24,377,104,81,77.9%,55,41,74.5%,27,5,18.5%,1,p159533,West Ham
Wataru Endo,8,171,94,80,85.1%,25,18,72.0%,3,0,0.0%,1,p158983,Liverpool
Joël Piroe,16,246,97,79,81.4%,40,30,75.0%,4,1,25.0%,0,p235826,Leeds
Ethan Nwaneri,6,165,87,79,90.8%,30,26,86.7%,1,0,0.0%,1,p499175,Arsenal
Dennis Cirkin,8,320,99,77,77.8%,27,18,66.7%,3,1,33.3%,0,p461195,Sunderland
Fer López,9,229,103,75,72.8%,47,31,66.0%,1,0,0.0%,4,p643135,Wolves
Donyell Malen,21,645,94,73,77.7%,51,40,78.4%,7,2,28.6%,1,p204646,Aston Villa
Daniel James,19,553,119,72,60.5%,62,41,66.1%,50,7,14.0%,1,p200617,Leeds
Eddie Nketiah,12,416,87,70,80.5%,28,20,71.4%,1,0,0.0%,1,p205533,Crystal Palace
Harvey Elliott,5,110,82,69,84.2%,50,41,82.0%,3,1,33.3%,1,p444884,Aston Villa
Reiss Nelson,10,118,74,68,91.9%,33,30,90.9%,2,0,0.0%,0,p200641,Brentford
Ezra Mayers,6,113,81,68,84.0%,30,24,80.0%,3,2,66.7%,0,p602903,West Ham
Guido Rodríguez,6,177,76,68,89.5%,18,15,83.3%,2,0,0.0%,0,p197024,West Ham
Yoane Wissa,19,521,93,65,69.9%,47,30,63.8%,1,0,0.0%,1,p216646,Newcastle
William Osula,24,811,81,65,80.3%,33,24,72.7%,3,2,66.7%,0,p538207,Newcastle
Nathan Patterson,7,240,84,64,76.2%,23,13,56.5%,6,0,0.0%,0,p243571,Everton
Matt O'Riley,6,203,70,61,87.1%,20,18,90.0%,4,2,50.0%,0,p219249,Brighton
Taiwo Awoniyi,17,481,75,60,80.0%,29,24,82.8%,1,0,0.0%,1,p210156,Nott'm Forest
Alex Tóth,9,137,65,57,87.7%,29,23,79.3%,2,0,0.0%,0,p614574,Bournemouth
Nilson Angulo,8,406,78,57,73.1%,34,21,61.8%,4,0,0.0%,0,p536661,Sunderland
Niclas Füllkrug,8,408,93,57,61.3%,41,18,43.9%,0,0,0.0%,0,p91889,West Ham
Rodrigo Muniz,21,997,132,56,42.4%,67,26,38.8%,2,0,0.0%,0,p244042,Fulham
Eliezer Mayenda,20,756,85,56,65.9%,40,22,55.0%,1,0,0.0%,0,p564406,Sunderland
Ben Davies,3,138,65,56,86.2%,16,13,81.3%,3,2,66.7%,0,p115556,Spurs
Alexander Isak,14,703,88,55,62.5%,53,31,58.5%,2,0,0.0%,1,p219168,Liverpool
Christian Nørgaard,7,101,61,51,83.6%,17,9,52.9%,1,0,0.0%,0,p128295,Arsenal
Max Dowman,6,153,52,46,88.5%,30,26,86.7%,5,1,20.0%,1,p616077,Arsenal
Mamadou Sarr,3,100,52,46,88.5%,3,1,33.3%,0,0,0.0%,0,p574458,Chelsea
Zach Abbott,3,165,62,44,71.0%,18,9,50.0%,3,1,33.3%,0,p549067,Nott'm Forest
Harrison Reed,7,90,43,40,93.0%,9,8,88.9%,1,1,100.0%,0,p153366,Fulham
Oliver Sonne,7,165,59,39,66.1%,26,15,57.7%,5,1,20.0%,0,p519895,Burnley
