player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Sean Neave,1,13,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p599303,Newcastle
Kaye Furo,1,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p593174,Brentford
Mateo Kovacic,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p91651,Man City
Lamin Sillah,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p687076,Nott'm Forest
Adam Aznou,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p499300,Everton
Alfie Cresswell,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p592740,Leeds
Rhys Chadwick,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p577978,Leeds
Keiber Lamadrid,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p572702,West Ham
Ryan Kavuma-McQueen,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p616286,Chelsea
Jayden Lienou,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p643970,Leeds
Will Wright,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p677945,Liverpool
James McConnell,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p491501,Liverpool
Talla Ndiaye,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p718875,Liverpool
Jimmy Sinclair,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p590040,Nott'm Forest
Archie Whitehall,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p568159,Nott'm Forest
Eric da Silva Moreira,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p569014,Nott'm Forest
Kieran Morrison,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p596042,Liverpool
Mathis Eboué,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p671606,Chelsea
Ollie Shield,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p494556,Brentford
Saheed Olagunju,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p601956,Wolves
Harrison Jones,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p547410,Sunderland
Jim Thwaites,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p576634,Man Utd
Luka Bentt,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p559610,Brentford
Joshua Stephenson,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p649240,Brentford
Jenson Jones,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p232356,Sunderland
Riley Owen,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p547671,Brentford
Marli Salmon,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p616065,Arsenal
Conor McManus,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p587433,Brentford
Calvin Ramsay,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p489580,Liverpool
Tyler Fredricson,1,2,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,p547676,Man Utd
James Rowswell,1,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p499716,Spurs
James Wilson,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p613232,Spurs
Jack Whittaker,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p570929,Sunderland
Jaydon Jones,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p571087,Sunderland
Rio Kyerematen,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p536134,Spurs
Godwill Kukonki,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p576637,Man Utd
Leo Shahar,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p553746,Newcastle
Kian McMahon-Brown,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p644593,Burnley
Milan Aleksic,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p626844,Sunderland
Jack Moorhouse,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p559684,Man Utd
Lucá Williams-Barnett,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p611917,Spurs
Luke Rawlings,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p605319,Wolves
Malcom DaCosta,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p678552,Bournemouth
Ryan McAidoo,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p616288,Man City
Zach Marsh,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p576980,Crystal Palace
Amara Nallo,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p611926,Liverpool
Remy Rees-Dottin,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p606774,Bournemouth
Danny Imray,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p502988,Crystal Palace
Dominic Sadi,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p550596,Bournemouth
Charlie Stevens,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p658013,Bournemouth
Reece Welch,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p474907,Everton
Elijah Campbell,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p491745,Everton
Sam Amissah,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p591385,Fulham
Stephen Mfuni,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p566213,Man City
Tymur Tutierov,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p604211,Sunderland
Leo Hjelde,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p477547,Sunderland
Myles Peart-Harris,1,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p450539,Brentford
Ben Casey,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p631106,Crystal Palace
George King,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p591384,Crystal Palace
Dean Benamar,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p643426,Crystal Palace
Temple Ojinnaka,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p514362,Wolves
Seth Ridgeon,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p619536,Fulham
Charlie Tasker,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p547720,Brighton
Reigan Heskey,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p580921,Man City
Sam Chambers,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p565863,Leeds
Oliver Pimlott,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p647960,Burnley
Enock Agyei,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p578614,Burnley
George Brierley,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p704232,Burnley
Airidas Golambeckis,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p643473,West Ham
Enso González,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p593001,Wolves
TJ Carroll,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p618027,Aston Villa
Yunus Konak,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p628204,Brentford
Wellity Lucky,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p519440,Liverpool
Leon Routh,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p664015,Aston Villa
Chido Obi,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p596047,Man Utd
Sam Alabi,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p666607,Newcastle
Julián Araujo,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p436893,Bournemouth
Braiden Graham,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p629068,Everton
Callum Bates,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p547801,Everton
Kota Takai,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p553299,Spurs
Gustavo Nunes,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p626464,Brentford
Freddie Simmonds,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p604988,Brighton
Joe Knight,1,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p567121,Brighton
Nehemiah Oriola,1,1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p556637,Brighton
Charlie Gray,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p516234,Man City
Alfie Pond,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p517179,Wolves
Willy Boly,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p90585,Nott'm Forest
Benjamin Arthur,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p622536,Brentford
Andre Harriman-Annous,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p646243,Arsenal
Yusuf Akhamrich,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p590035,Spurs
Ben Broggio,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p577731,Aston Villa
Landon Emenalo,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p611912,Chelsea
Diego León,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p661712,Man Utd
Harry Gray,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p600882,Leeds
Travis Patterson,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p534836,Aston Villa
Triston Rowe,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p569577,Aston Villa
Manuel Akanji,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p211975,Man City
Ilkay Gündogan,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p59859,Man City
Aaron Ramsey,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p447715,Burnley
Manor Solomon,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p235674,Spurs
Romain Faivre,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p441240,Bournemouth
Tyler Onyango,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p461446,Everton
Giovanni Leoni,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p647681,Liverpool
Odsonne Édouard,1,2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p199670,Crystal Palace
Youssef Chermiti,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p491012,Everton
Jakub Kiwior,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p440854,Arsenal
Luka Vuskovic,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p610799,Spurs
Largie Ramazani,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p433952,Leeds
Mads Roerslev,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p226956,Brentford
Jesurun Rak-Sakyi,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p450542,Crystal Palace
Andreas Pereira,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p156689,Fulham
Edson Álvarez,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p213999,West Ham
Samuel Iling-Junior,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p469247,Aston Villa
Park Seung-Soo,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p623110,Newcastle
Ben Winterburn,1,6,1,0,0.0%,1,0,0.0%,0,0,0.0%,0,p606775,Bournemouth
Philip Billing,0,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,p168991,Bournemouth
